siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
MOJN0JOTR0YUBR-001,578593,3754471,JCPF,4968588.156,None,Main,Target - Surveyed,,53.3,1.5,3.3,57.2,94.3
MOJN0JOTR0YUBR-002,583942,3754774,PR,5194778.505,None,Main,Target - Surveyed,,21.3,2.8,7.1,81,98
MOJN0JOTR0YUBR-003,578944,3763145,CR,1308072.229,None,Main,Target - Surveyed,,32.7,2.1,5.7,73.9,97.1
MOJN0JOTR0YUBR-004,575251,3768618,PR,5194778.505,None,Main,Target - Surveyed,,38.7,2.7,4.1,80.4,97.2
MOJN0JOTR0YUBR-005,588367,3746343,JCPF,4968588.156,None,Main,Target - Surveyed,,34,2.2,5.1,72.6,96.3
MOJN0JOTR0YUBR-006,588707,3763110,LT,5621027.910,None,Main,Target - Surveyed,,24.7,2.8,8.4,78.6,99.1
MOJN0JOTR0YUBR-007,576219,3763463,PR,5194778.505,None,Main,Target - Surveyed,,29.3,3.6,11.4,76.7,98.1
MOJN0JOTR0YUBR-008,574447,3772346,LT,5621027.910,None,Main,Target - Surveyed,,50,1.8,4,70.9,94.9
MOJN0JOTR0YUBR-009,587693,3751932,LT,5621027.910,None,Main,Target - Surveyed,,36,2,3.8,76,97.5
MOJN0JOTR0YUBR-010,591502,3762053,CR,1308072.229,None,Main,Target - Surveyed,,36,2,4.1,75.3,97.9
MOJN0JOTR0YUBR-011,576729,3758336,PR,5194778.505,None,Main,Target - Surveyed,,41.3,2.4,3.3,80.7,96
MOJN0JOTR0YUBR-012,563927,3763237,JCPF,4968588.156,None,Main,Target - Surveyed,,54.7,3.7,4.8,83.5,97.4
MOJN0JOTR0YUBR-013,556441,3769562,CR,1308072.229,None,Main,Non-Target,Obligate riparian species present,,,,,
MOJN0JOTR0YUBR-014,582610,3760158,LT,5621027.910,None,Main,Target - Surveyed,,31.3,2,6.1,76.9,89.5
MOJN0JOTR0YUBR-015,573036,3759330,LT,5621027.910,None,Main,Target - Surveyed,,31.3,2.5,12,73.9,99.3
MOJN0JOTR0YUBR-016,567409,3768166,CR,1308072.229,None,Main,Target - Surveyed,,36.7,1.7,2.5,75.7,94.8
MOJN0JOTR0YUBR-017,587263,3746848,JCPF,4968588.156,None,Main,Target - Surveyed,,33.3,2.3,3.2,73.5,97.1
MOJN0JOTR0YUBR-018,584740,3755493,LT,5621027.910,None,Main,Target - Surveyed,,20,2.9,6.8,81,98.1
MOJN0JOTR0YUBR-019,577645,3764868,PR,5194778.505,None,Main,Target - Surveyed,,15.3,4.1,12.2,88.1,98.8
MOJN0JOTR0YUBR-020,572054,3767879,PR,5194778.505,None,Main,Target - Surveyed,,23.3,3.6,4.5,82.1,97.5
MOJN0JOTR0YUBR-021,584528,3753115,LT,5621027.910,None,Main,Target - Surveyed,,31.3,7.3,38.9,84.5,99.9
MOJN0JOTR0YUBR-022,589569,3764521,CR,1308072.229,None,Main,Target - Surveyed,,28,2.4,7.6,70.9,97.7
MOJN0JOTR0YUBR-023,575352,3760216,JCPF,4968588.156,None,Main,Non-Target,Vegetation mismatch; No associations present within transect area.,,,,,
MOJN0JOTR0YUBR-024,578788,3765782,PR,5194778.505,None,Main,Target - Not Sampled,Cultural resources,,,,,
MOJN0JOTR0YUBR-025,588656,3751664,LT,5621027.910,None,Main,Target - Surveyed,,32.7,2.3,5.7,82,96.4
MOJN0JOTR0YUBR-026,582096,3765019,PR,5194778.505,None,Main,Target - Surveyed,,22,4.2,9.8,92.6,99.2
MOJN0JOTR0YUBR-027,577184,3755786,JCPF,4968588.156,None,Main,Target - Surveyed,,60,2,3.8,57.3,94.9
MOJN0JOTR0YUBR-028,570105,3761923,JCPF,4968588.156,None,Main,Non-Target,Vegetation mismatch; None of the target associated species are present; likely burned and not tollerant to fire.,,,,,
MOJN0JOTR0YUBR-029,590330,3765523,LT,5621027.910,None,Main,Target - Not Sampled,Multi-terrain Types; Presence of roads,,,,,
MOJN0JOTR0YUBR-030,582551,3762148,PR,5194778.505,None,Main,Target - Surveyed,,34,5.8,10.9,91.2,99
MOJN0JOTR0YUBR-031,573307,3769256,PR,5194778.505,None,Main,Target - Surveyed,,26.7,6,9.4,96.6,99.6
MOJN0JOTR0YUBR-032,561771,3767288,CR,1308072.229,None,Main,Non-Target,Vegetation mismatch; Target community <80% of macroplot,,,,,
MOJN0JOTR0YUBR-033,588271,3748371,LT,5621027.910,None,Main,Target - Surveyed,,48,1.6,4.8,63.5,98.5
MOJN0JOTR0YUBR-034,585726,3758331,LT,5621027.910,None,Main,Target - Surveyed,,40,2.1,3.6,75.5,94.2
MOJN0JOTR0YUBR-035,578300,3764743,PR,5194778.505,None,Main,Target - Surveyed,,26.7,3.7,6.6,88.1,98.3
MOJN0JOTR0YUBR-036,576571,3767890,PR,5194778.505,None,OverSamp,Target - Not Sampled,Inaccesible; Part of plot blocked by fences,,,,,
MOJN0JOTR0YUBR-037,585879,3751516,CR,1308072.229,None,OverSamp,Target - Surveyed,,32.7,1.3,3.9,69.6,97.5
MOJN0JOTR0YUBR-038,590624,3764770,CR,1308072.229,None,OverSamp,Target - Surveyed,,40.7,3.5,7.6,87.2,95.8
MOJN0JOTR0YUBR-039,573989,3761055,JCPF,4968588.156,None,OverSamp,Target - Surveyed,,32.7,3.5,5.7,88.3,97.5
MOJN0JOTR0YUBR-040,561942,3765029,JCPF,4968588.156,None,OverSamp,Target - Not Sampled,Too close to trail,,,,,
MOJN0JOTR0YUBR-041,588074,3750368,LT,5621027.910,None,OverSamp,Target - Surveyed,,25.3,2.6,5.7,80.8,98.5
MOJN0JOTR0YUBR-042,583265,3763626,PR,5194778.505,None,OverSamp,Target - Surveyed,,41.3,3.1,3.8,88.6,92.5
MOJN0JOTR0YUBR-043,581895,3757710,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-044,571196,3768814,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-045,582387,3765538,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-046,576918,3760841,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-047,571707,3768337,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-048,561552,3769211,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-049,587714,3746480,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-050,586110,3759337,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-051,580829,3762790,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-052,575001,3767251,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-053,585418,3752128,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-054,590309,3762853,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-055,573157,3759990,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-056,564290,3762568,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-057,557882,3768716,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-058,583582,3764941,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-059,576429,3758831,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-060,569899,3767051,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-061,584386,3757889,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-062,578954,3761568,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-063,575159,3770568,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-064,568303,3773417,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-065,577953,3753950,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-066,582220,3755198,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-067,578665,3763832,CR,1308072.229,None,OverSamp,NotEval,,,,,,
