siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Park,Cost_cat,Inverse_Cost,pH
SEKI_Lake-001,366639.80,4025318.68,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,3,0.0990,5.56
SEKI_Lake-002,368462.11,4059892.23,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,5,0.0770,6.89
SEKI_Lake-003,373759.22,4054266.43,Equal,13.96,None,Panel_1,Non-target,Shallow lake,SEQUOIA,5,0.0700,
SEKI_Lake-004,356067.07,4101476.32,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,5,0.0790,7.85
SEKI_Lake-005,373504.91,4072863.76,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.1210,7.26
SEKI_Lake-006,353896.44,4050821.66,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,2,0.1610,7.13
SEKI_Lake-007,357000.38,4079125.78,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,2,0.1570,8
SEKI_Lake-008,374427.53,4086389.17,Equal,13.96,None,Panel_1,Target - Not sampled,Inaccessible,KINGS_CANYON,4,0.0890,
SEKI_Lake-009,372732.24,4061582.78,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,5,0.0790,5.53
SEKI_Lake-010,371835.46,4046316.72,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,6,0.0580,5.8
SEKI_Lake-011,350623.89,4116861.02,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,2,0.1710,7.37
SEKI_Lake-012,367979.87,4102455.45,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,4,0.0870,6.85
SEKI_Lake-013,369915.88,4077990.14,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.0980,6.72
SEKI_Lake-014,363596.40,4031827.54,Equal,13.96,None,Panel_1,Non-target,Shallow lake,SEQUOIA,2,0.1530,
SEKI_Lake-015,345620.01,4108700.29,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,4,0.0860,6.76
SEKI_Lake-016,371340.27,4096539.11,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.1040,6.56
SEKI_Lake-017,356637.67,4028715.27,Equal,13.96,None,Panel_1,Non-target,Shallow lake,SEQUOIA,1,0.2080,
SEKI_Lake-018,371107.17,4065444.34,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.1230,6.84
SEKI_Lake-019,380373.53,4055017.96,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,5,0.0680,8.36
SEKI_Lake-020,351443.21,4107176.20,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,5,0.0780,8.49
SEKI_Lake-021,376653.07,4080456.72,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,4,0.0850,6.75
SEKI_Lake-022,360666.32,4055717.53,Equal,13.96,None,Panel_1,Target - Not sampled,Inaccessible,KINGS_CANYON,4,0.0870,
SEKI_Lake-023,348113.58,4083253.25,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.1140,8.49
SEKI_Lake-024,372575.69,4089665.32,Equal,13.96,None,Panel_1,Target - Not sampled,Inaccessible,KINGS_CANYON,3,0.1080,
SEKI_Lake-025,377765.16,4062486.02,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,3,0.1080,8.43
SEKI_Lake-026,367711.36,4049888.03,Equal,13.96,None,Panel_1,Target - Sampled,,SEQUOIA,6,0.0610,5.78
SEKI_Lake-027,348773.94,4116650.78,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,2,0.1500,7.35
SEKI_Lake-028,362944.48,4099394.41,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,5,0.0750,7.46
SEKI_Lake-029,366111.53,4085260.27,Equal,13.96,None,Panel_1,Target - Sampled,,KINGS_CANYON,3,0.1160,7.33
SEKI_Lake-030,360321.76,4044132.82,Equal,13.96,None,Panel_1,NotEval,,SEQUOIA,3,0.0960,
SEKI_Lake-031,347653.07,4104230.68,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,6,0.0650,
SEKI_Lake-032,362872.34,4087897.82,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,4,0.0920,
SEKI_Lake-033,374071.02,4076162.02,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,3,0.1010,
SEKI_Lake-034,349326.71,4057470.11,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,2,0.1920,
SEKI_Lake-035,384454.17,4042412.55,Equal,13.96,None,Panel_1,NotEval,,SEQUOIA,3,0.1170,
SEKI_Lake-036,346574.48,4096422.36,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,5,0.0760,
SEKI_Lake-037,377572.61,4083913.25,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,4,0.0940,
SEKI_Lake-038,363506.85,4044707.74,Equal,13.96,None,Panel_1,NotEval,,SEQUOIA,4,0.0940,
SEKI_Lake-039,353156.67,4061007.93,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,2,0.1340,
SEKI_Lake-040,362194.09,4107356.98,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,1,0.2010,
SEKI_Lake-041,372974.46,4060677.35,Equal,13.96,None,Panel_1,NotEval,,SEQUOIA,5,0.0760,
SEKI_Lake-042,365709.08,4054937.78,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,5,0.0770,
SEKI_Lake-043,349482.36,4111084.84,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,3,0.0990,
SEKI_Lake-044,367237.08,4094211.26,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,5,0.0780,
SEKI_Lake-045,360583.56,4085037.31,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,3,0.0980,
SEKI_Lake-046,361307.19,4040678.43,Equal,13.96,None,Panel_1,NotEval,,SEQUOIA,2,0.1270,
SEKI_Lake-047,347573.42,4100678.37,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,6,0.0650,
SEKI_Lake-048,361406.50,4088525.44,Equal,13.96,None,Panel_1,NotEval,,KINGS_CANYON,4,0.0860,
SEKI_Lake-049,373933.72,4072182.01,Equal,13.96,None,Panel_1,NotEval,,,2,0.1450,
SEKI_Lake-050,352210.74,4052789.74,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,1,0.2440,
SEKI_Lake-051,354580.98,4083632.25,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1050,
SEKI_Lake-052,349829.59,4096408.58,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,6,0.0600,
SEKI_Lake-053,376358.77,4070157.16,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,1,0.2330,
SEKI_Lake-054,359032.93,4045539.21,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,4,0.0830,
SEKI_Lake-055,339565.22,4114392.01,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1070,
SEKI_Lake-056,359410.00,4104088.80,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1060,
SEKI_Lake-057,368375.68,4078065.14,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1100,
SEKI_Lake-058,370393.24,4041851.39,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,4,0.0860,
SEKI_Lake-059,347185.47,4110511.30,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0900,
SEKI_Lake-060,366313.53,4098266.83,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,5,0.0800,
SEKI_Lake-061,366667.26,4062188.47,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0850,
SEKI_Lake-062,381447.70,4050627.73,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,5,0.0800,
SEKI_Lake-063,351690.77,4102925.56,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,6,0.0620,
SEKI_Lake-064,370505.84,4087979.46,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0900,
SEKI_Lake-065,369507.21,4060652.08,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0800,
SEKI_Lake-066,377701.34,4055367.93,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,5,0.0710,
SEKI_Lake-067,354052.03,4109864.78,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0920,
SEKI_Lake-068,376376.47,4073663.31,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1170,
SEKI_Lake-069,355536.55,4032264.78,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,1,0.4820,
SEKI_Lake-070,373856.94,4090574.46,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1030,
SEKI_Lake-071,370201.70,4045448.35,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,6,0.0590,
SEKI_Lake-072,350305.60,4116960.74,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,2,0.1710,
SEKI_Lake-073,370850.90,4101667.29,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,5,0.0750,
SEKI_Lake-074,370527.39,4076066.84,Equal,13.96,None,OverSamp,NotEval,,,4,0.0940,
SEKI_Lake-075,360020.21,4035067.63,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,1,0.3150,
SEKI_Lake-076,369727.00,4093019.57,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1010,
SEKI_Lake-077,368202.11,4068007.74,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,2,0.1320,
SEKI_Lake-078,381452.25,4052671.15,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,4,0.0850,
SEKI_Lake-079,353879.18,4109012.62,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0930,
SEKI_Lake-080,375279.40,4082881.10,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0920,
SEKI_Lake-081,359432.74,4057768.98,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1020,
SEKI_Lake-082,373017.48,4089397.50,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1070,
SEKI_Lake-083,373738.31,4060483.09,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,5,0.0750,
SEKI_Lake-084,370692.80,4055167.59,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,6,0.0650,
SEKI_Lake-085,345357.55,4120320.48,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1020,
SEKI_Lake-086,370690.58,4083669.37,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.0980,
SEKI_Lake-087,349182.04,4106307.74,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,5,0.0750,
SEKI_Lake-088,359686.78,4090199.01,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0850,
SEKI_Lake-089,372356.50,4076710.64,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,4,0.0940,
SEKI_Lake-090,350102.79,4051527.72,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,1,0.3580,
SEKI_Lake-091,384793.11,4044087.62,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,3,0.1100,
SEKI_Lake-092,374713.00,4070428.10,Equal,13.96,None,OverSamp,NotEval,,,1,0.2100,
SEKI_Lake-093,337616.34,4118320.22,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.0980,
SEKI_Lake-094,362361.14,4106388.44,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,2,0.1790,
SEKI_Lake-095,375883.38,4059714.61,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,4,0.0820,
SEKI_Lake-096,365264.32,4052431.06,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,6,0.0660,
SEKI_Lake-097,350906.70,4112088.31,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.1010,
SEKI_Lake-098,360526.54,4083028.44,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.0990,
SEKI_Lake-099,384769.84,4045572.57,Equal,13.96,None,OverSamp,NotEval,,SEQUOIA,3,0.1010,
SEKI_Lake-100,347219.30,4101243.02,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,6,0.0650,
SEKI_Lake-101,362555.73,4090736.07,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,5,0.0700,
SEKI_Lake-102,372459.14,4074885.80,Equal,13.96,None,OverSamp,NotEval,,KINGS_CANYON,3,0.0960,
