siteID,xcoord,ycoord,mdcaty,wgt,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
Site-001,578593,3754471,JCPF,4968588.156,Main,Target - Surveyed,,53.3,1.5,3.3,57.2,94.3
Site-002,583942,3754774,PR,5194778.505,Main,Target - Surveyed,,21.3,2.8,7.1,81,98
Site-003,578944,3763145,CR,1308072.229,Main,Target - Surveyed,,32.7,2.1,5.7,73.9,97.1
Site-004,575251,3768618,PR,5194778.505,Main,Target - Surveyed,,38.7,2.7,4.1,80.4,97.2
Site-005,588367,3746343,JCPF,4968588.156,Main,Target - Surveyed,,34,2.2,5.1,72.6,96.3
Site-006,588707,3763110,LT,5621027.91,Main,Target - Surveyed,,24.7,2.8,8.4,78.6,99.1
Site-007,576219,3763463,PR,5194778.505,Main,Target - Surveyed,,29.3,3.6,11.4,76.7,98.1
Site-008,574447,3772346,LT,5621027.91,Main,Target - Surveyed,,50,1.8,4,70.9,94.9
Site-009,587693,3751932,LT,5621027.91,Main,Target - Surveyed,,36,2,3.8,76,97.5
Site-010,591502,3762053,CR,1308072.229,Main,Target - Surveyed,,36,2,4.1,75.3,97.9
Site-011,576729,3758336,PR,5194778.505,Main,Target - Surveyed,,41.3,2.4,3.3,80.7,96
Site-012,563927,3763237,JCPF,4968588.156,Main,Target - Surveyed,,54.7,3.7,4.8,83.5,97.4
Site-013,556441,3769562,CR,1308072.229,Main,Non-Target,Obligate riparian species present,,,,,
Site-014,582610,3760158,LT,5621027.91,Main,Target - Surveyed,,31.3,2,6.1,76.9,89.5
Site-015,573036,3759330,LT,5621027.91,Main,Target - Surveyed,,31.3,2.5,12,73.9,99.3
Site-016,567409,3768166,CR,1308072.229,Main,Target - Surveyed,,36.7,1.7,2.5,75.7,94.8
Site-017,587263,3746848,JCPF,4968588.156,Main,Target - Surveyed,,33.3,2.3,3.2,73.5,97.1
Site-018,584740,3755493,LT,5621027.91,Main,Target - Surveyed,,20,2.9,6.8,81,98.1
Site-019,577645,3764868,PR,5194778.505,Main,Target - Surveyed,,15.3,4.1,12.2,88.1,98.8
Site-020,572054,3767879,PR,5194778.505,Main,Target - Surveyed,,23.3,3.6,4.5,82.1,97.5
Site-021,584528,3753115,LT,5621027.91,Main,Target - Surveyed,,31.3,7.3,38.9,84.5,99.9
Site-022,589569,3764521,CR,1308072.229,Main,Target - Surveyed,,28,2.4,7.6,70.9,97.7
Site-023,575352,3760216,JCPF,4968588.156,Main,Non-Target,Vegetation mismatch; No associations present within transect area.,,,,,
Site-024,578788,3765782,PR,5194778.505,Main,Target - Not Sampled,Cultural resources,,,,,
Site-025,588656,3751664,LT,5621027.91,Main,Target - Surveyed,,32.7,2.3,5.7,82,96.4
Site-026,582096,3765019,PR,5194778.505,Main,Target - Surveyed,,22,4.2,9.8,92.6,99.2
Site-027,577184,3755786,JCPF,4968588.156,Main,Target - Surveyed,,60,2,3.8,57.3,94.9
Site-028,570105,3761923,JCPF,4968588.156,Main,Non-Target,Vegetation mismatch; None of the target associated species are present; likely burned and not tollerant to fire.,,,,,
Site-029,590330,3765523,LT,5621027.91,Main,Target - Not Sampled,Multi-terrain Types; Presence of roads,,,,,
Site-030,582551,3762148,PR,5194778.505,Main,Target - Surveyed,,34,5.8,10.9,91.2,99
Site-031,573307,3769256,PR,5194778.505,Main,Target - Surveyed,,26.7,6,9.4,96.6,99.6
Site-032,561771,3767288,CR,1308072.229,Main,Non-Target,Vegetation mismatch; Target community <80% of macroplot,,,,,
Site-033,588271,3748371,LT,5621027.91,Main,Target - Surveyed,,48,1.6,4.8,63.5,98.5
Site-034,585726,3758331,LT,5621027.91,Main,Target - Surveyed,,40,2.1,3.6,75.5,94.2
Site-035,578300,3764743,PR,5194778.505,Main,Target - Surveyed,,26.7,3.7,6.6,88.1,98.3
Site-036,576571,3767890,PR,5194778.505,OverSamp,Target - Not Sampled,Inaccesible; Part of plot blocked by fences,,,,,
Site-037,585879,3751516,CR,1308072.229,OverSamp,Target - Surveyed,,32.7,1.3,3.9,69.6,97.5
